Codice,Varieta,Codice del clone,Nome del clone,Data di approvazione,Costitutore,Sinonimi,Annotazioni,Gazzetta ufficiale,Data G.U.
054,CARIGNANO N.,002,I - VCR 252,2015-12-30,2,,,G.U. 16,2016-01-21
054,CARIGNANO N.,003,I - VCR 142,2017-10-05,2,,,G.U. 256,2017-11-02
054,CARIGNANO N.,004,I - VCR 143,2017-10-05,2,,,G.U. 256,2017-11-02
055,CARRICANTE B.,,,1970-05-25,,,,G.U. 149,1970-06-17
055,CARRICANTE B.,001,I - CR 7,1987-12-10,19/20,,,G.U. 18,1988-01-23
055,CARRICANTE B.,002,I - Regione Sicilia 2,2011-04-22,84,,,G. U. 170,2011-07-23
056,CASTIGLIONE N.,,,1970-05-25,,,,G.U. 149,1970-06-17
057,CATANESE NERO N.,,,1970-05-25,,,,G.U. 149,1970-06-17
058,CATARRATTO BIANCO COMUNE B.,,,1970-05-25,,"CATARRATTO*, LUCIDO**","* Ai soli fini della designazione,   **Ai soli fini della designazione dei vini provenienti dalle uve raccolte nella regione Sicilia",G.U. 149,1970-06-17
058,CATARRATTO BIANCO COMUNE B.,001,I - CS 1,1987-12-10,19/20,,,G.U. 18,1988-01-23
058,CATARRATTO BIANCO COMUNE B.,002,I - VCR 7,2006-02-02,2,,,G.U. 61,2006-03-14
058,CATARRATTO BIANCO COMUNE B.,003,I - VCR 8,2006-02-02,2,,,G.U. 61,2006-03-14
058,CATARRATTO BIANCO COMUNE B.,004,I - Regione Sicilia 60,2011-04-22,84,,,G. U. 170,2011-07-23
058,CATARRATTO BIANCO COMUNE B.,005,I - VFP 31,2012-03-23,4,,,G. U. 137,2012-06-14
059,CATARRATTO BIANCO LUCIDO B.,,,1970-05-25,,CATARRATTO*  LUCIDO**,"* Ai soli fini della designazione,  **Ai soli fini della designazione dei vini provenienti dalle uve raccolte nella regione Sicilia",G.U. 149,1970-06-17
060,CESANESE COMUNE N.,,,1970-05-25,,CESANESE*,* Ai soli fini della designazione,G.U. 149,1970-06-17
060,CESANESE COMUNE N.,001,I - ARSIAL-CRA 838,2009-03-27,1/63/72,,,G.U. 146,2009-06-26
061,CESANESE D AFFILE N.,,,1970-05-25,,,,G.U. 149,1970-06-17
061,CESANESE D AFFILE N.,001,I - A5,2007-09-19,63/64,,,G.U. 253,2007-10-30
061,CESANESE D AFFILE N.,002,I - A8,2007-09-19,63/64,,,G.U. 253,2007-10-30
061,CESANESE D AFFILE N.,003,I - A9,2007-09-19,63/64,,,G.U. 253,2007-10-30
061,CESANESE D AFFILE N.,004,I - A10,2007-09-19,63/64,,,G.U. 253,2007-10-30
061,CESANESE D AFFILE N.,005,I - A19,2007-09-19,63/64,,,G.U. 253,2007-10-30
061,CESANESE D AFFILE N.,006,I - A20,2007-09-19,63/64,,,G.U. 253,2007-10-30
061,CESANESE D AFFILE N.,007,I - A21,2007-09-19,63/64,,,G.U. 253,2007-10-30
061,CESANESE D AFFILE N.,008,I - ARSIAL-CRA 228,2009-03-27,1/63/72,,,G.U. 146,2009-06-26
061,CESANESE D AFFILE N.,009,I - ARSIAL-CRA 232,2009-03-27,1/63/72,,,G.U. 146,2009-06-26
061,CESANESE D AFFILE N.,010,I - VCR 462,2016-12-28,2,,,G.U. 8,2017-01-11
061,CESANESE D AFFILE N.,011,I - VCR 85,2023-06-19,2,,,G.U. 170,2023-07-22
061,CESANESE D AFFILE N.,012,I - VCR 86,2023-06-19,2,,,G.U. 170,2023-07-22
062,CILIEGIOLO N.,,,1970-05-25,,MORETTONE,,G.U. 149,1970-06-17
062,CILIEGIOLO N.,001,I - U.S. PI FI Pec. 21,1987-10-12,9/15,,,G.U. 271,1987-11-19
062,CILIEGIOLO N.,002,I - VCR 1,1999-03-01,2,,,G.U. 86,1999-04-14
062,CILIEGIOLO N.,003,I - CL CAB 8,1976-02-02,8,,,G.U. 136,1976-05-24
062,CILIEGIOLO N.,004,I - ARSIAL-CRA 223,2009-03-27,1/63/72,,,G.U. 146,2009-06-26
062,CILIEGIOLO N.,005,I - UBA-RA CI 3,2009-03-27,47/11/73/74,,,G.U. 146,2009-06-26
062,CILIEGIOLO N.,006,I - LA - VITE - CIL - 13,2016-06-08,89/9/102,,,G.U. 155,2016-07-05
062,CILIEGIOLO N.,007,I - LA - VITE - CIL - 16,2016-06-08,89/9/102,,,G.U. 155,2016-07-05
062,CILIEGIOLO N.,008,I - AMPELOS DGV 14,2019-05-23,60/65,,,G.U. 132,2019-06-07
062,CILIEGIOLO N.,009,I - AMPELOS GR 1,2019-05-23,60/110,,,G.U. 132,2019-06-07
063,CLAIRETTE B.,,,1971-03-22,,,,G.U. 98,1971-04-24
064,COCOCCIOLA B.,,,1970-05-25,,,,G.U. 149,1970-06-17
064,COCOCCIOLA B.,001,I - UBA - RA CC 6,2002-11-27,11/47,,,G.U. 19,2003-01-24
064,COCOCCIOLA B.,002,I - UBA - RA CC 31,2002-11-27,11/47,,,G.U. 19,2003-01-24
064,COCOCCIOLA B.,003,I - 8 ISV,2003-07-09,1,,,G.U. 241,2003-10-16
065,CODA DI VOLPE BIANCA B.,,,1970-05-25,,CODA DI VOLPE,,G.U. 149,1970-06-17
065,CODA DI VOLPE BIANCA B.,001,I - VCR 354,2018-05-30,2,,,G.U. 133,2018-06-11
066,COLOMBANA NERA N.,,,1970-05-25,,,,G.U. 149,1970-06-17
067,COLORINO N.,,,1970-05-25,,,,G.U. 149,1970-06-17
067,COLORINO N.,001,I - COL-N-6,1978-10-24,15,,,G.U. 323,1978-11-18
067,COLORINO N.,002,I - U.S. FI - PI 10,1994-10-26,9/15,,,G.U. 273,1994-11-22
067,COLORINO N.,003,I - COLO - RO - 2000/8,2002-11-27,9/15/27/30/43,,,G.U. 19,2003-01-24
067,COLORINO N.,004,I - VCR 2,2004-05-07,2,,,G.U. 242,2004-10-14
067,COLORINO N.,005,I - VCR 64,2007-09-19,2,,,G.U. 253,2007-10-30
067,COLORINO N.,006,I - UNIMI-VITIS COL VV801,2009-01-12,33/58,,,G.U. 93,2009-04-22
067,COLORINO N.,007,I - UNIMI-VITIS COL VV810,2009-01-12,33/58,,,G.U. 93,2009-04-22
068,CORINTO NERO N.,,,1971-03-01,,,,G.U. 91,1971-04-13
069,CORTESE B.,,,1970-05-25,,BIANCA FERNANDA *,* Ai soli fini della designazione dei vini DO e IGT della provincia di Verona,G.U. 149,1970-06-17
069,CORTESE B.,001,I - RAUSCEDO 2,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
069,CORTESE B.,002,I - RAUSCEDO 3,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
069,CORTESE B.,003,I - AL-CO-2,1988-12-22,24,,,G.U. 199,1990-08-27
069,CORTESE B.,004,I - AL-CO-17,1988-12-22,24,,,G.U. 199,1990-08-27
069,CORTESE B.,005,I - CS-V18,1990-08-31,7/33,,,G.U. 242,1991-10-15
069,CORTESE B.,006,I - VCR 264,2009-01-12,2,,,G.U. 93,2009-04-22
069,CORTESE B.,007,I - VCR 265,2009-01-12,2,,,G.U. 93,2009-04-22
069,CORTESE B.,008,I - VCR 460,2009-03-27,2,,,G.U. 146,2009-06-26
069,CORTESE B.,009,I - CTGAVI-CVT3,2009-03-27,12/34/76/77,,,G.U. 146,2009-06-26
069,CORTESE B.,010,I - CTGAVI-CVT7,2009-03-27,12/34/76/77,,,G.U. 146,2009-06-26
069,CORTESE B.,011,I - CTGAVI-CVT17,2009-03-27,12/34/76/77,,,G.U. 146,2009-06-26
069,CORTESE B.,012,I - CTGAVI-CVT29,2009-03-27,12/34/76/77,,,G.U. 146,2009-06-26
069,CORTESE B.,013,I - CTGAVI-CVT34,2009-03-27,12/34/76/77,,,G.U. 146,2009-06-26
069,CORTESE B.,014,I - UNIMI - VITIS VV41,2010-05-28,33/58,,,G. U. 189,2010-08-14
069,CORTESE B.,015,I - UNIMI - VITIS VV49,2010-05-28,33/58,,,G. U. 189,2010-08-14
069,CORTESE B.,016,I - CVT G 9,2013-07-10,12/76,,,G. U. 186,2013-08-09
069,CORTESE B.,017,I - CVT G 12,2013-07-10,12/76,,,G. U. 186,2013-08-09
069,CORTESE B.,018,I - CVT G 22,2013-07-10,12/76,,,G. U. 186,2013-08-09
069,CORTESE B.,019,I - CVT G 41,2013-07-10,12/76,,,G. U. 186,2013-08-09
069,CORTESE B.,020,I - 1 Vitiver,2015-12-30,98/99,,,G.U. 16,2016-01-21
070,CORVINA N.,,,1970-05-25,,CRUINA,,G.U. 149,1970-06-17
070,CORVINA N.,001,I - RAUSCEDO 6,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
070,CORVINA N.,003,I - ISV-CV 7,1980-10-01,1/17,,,G.U. 300,1980-10-31
070,CORVINA N.,004,I - ISV-CV 48,1980-10-01,1/17,,,G.U. 300,1980-10-31
070,CORVINA N.,005,I - ISV-CV 78,1980-10-01,1/17,,,G.U. 300,1980-10-31
070,CORVINA N.,006,I - ISV-CV-146,1980-10-01,1/17,,,G.U. 300,1980-10-31
070,CORVINA N.,007,I - ISV-CV 13,1991-02-23,1/17,,,G.U. 242,1991-10-15
070,CORVINA N.,008,I - VCR 446,2007-09-19,2,,,G.U. 253,2007-10-30
070,CORVINA N.,009,I - VCR 448,2007-09-19,2,,,G.U. 253,2007-10-30
070,CORVINA N.,010,I - CORA VISP VALP,2010-05-28,58/83,,,G. U. 189,2010-08-14
070,CORVINA N.,011,I - CORA VISP AMA,2010-05-28,58/83,,,G. U. 189,2010-08-14
070,CORVINA N.,012,I - Q 4 Vitiver,2015-12-30,98/99,,,G.U. 16,2016-01-21
070,CORVINA N.,013,I - 10 Vitiver,2015-12-30,98/99,,,G.U. 16,2016-01-21
070,CORVINA N.,014,I - ET54 VITIVER,2018-02-02,98,,,G.U. 39,2018-02-16
070,CORVINA N.,015,I - 64 VITIVER,2018-02-02,98,,,G.U. 39,2018-02-16
070,CORVINA N.,016,I - 74 VITIVER,2018-02-02,98,,,G.U. 39,2018-02-16
071,CROATINA N.,,,1970-05-25,,BONARDA*,* Esclusivamente per la designazione dei vini delle DOP Oltrep,G.U. 149,1970-06-17
071,CROATINA N.,001,I - RAUSCEDO 2,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
071,CROATINA N.,002,I - MI-CR 9,1976-04-29,7,,,G.U. 153,1976-06-11
071,CROATINA N.,003,I - MI-CR 10,1976-04-29,7,,,G.U. 153,1976-06-11
071,CROATINA N.,004,I - MI-CR 12,1976-04-29,7,,,G.U. 153,1976-06-11
071,CROATINA N.,005,I - PC-BO-1,1979-11-16,16,,,G.U. 347,1979-12-21
071,CROATINA N.,006,I - PC-BO-16,1979-11-16,16,,,G.U. 347,1979-12-21
071,CROATINA N.,007,I - CVT 38,2009-01-12,12/70/34,,,G.U. 93,2009-04-22
071,CROATINA N.,008,I - CVT 43,2009-01-12,12/70/34,,,G.U. 93,2009-04-22
071,CROATINA N.,009,I - Cro 2,2014-05-15,16/92,,,G.U. 127,2014-06-04
071,CROATINA N.,010,I - Cro 4,2014-05-15,16/92,,,G.U. 127,2014-06-04
071,CROATINA N.,011,I - Cro 5,2014-05-15,16/92,,,G.U. 127,2014-06-04
071,CROATINA N.,012,I - CVT 1,2015-12-30,12/76,,,G.U. 16,2016-01-21
071,CROATINA N.,013,I - CVT 10,2015-12-30,12/76,,,G.U. 16,2016-01-21
071,CROATINA N.,014,I - CVT 13,2015-12-30,12/76,,,G.U. 16,2016-01-21
071,CROATINA N.,015,I - 1 Vitiver,2015-12-30,98/99,,,G.U. 16,2016-01-21
071,CROATINA N.,016,I - Ampelos 2,2015-12-30,59/60/78/96/97,,,G.U. 16,2016-01-21
071,CROATINA N.,017,I - Ampelos 14,2015-12-30,59/60/78/96/97,,,G.U. 16,2016-01-21
071,CROATINA N.,018,I - VCR 43,2017-10-05,2,,,G.U. 256,2017-11-02
071,CROATINA N.,019,I - VCR 49,2017-10-05,2,,,G.U. 256,2017-11-02
071,CROATINA N.,020,I - VCR 358,2017-10-05,2,,,G.U. 256,2017-11-02
071,CROATINA N.,021,I - 8 VITIVER,2018-02-02,98,,,G.U. 39,2018-02-16
071,CROATINA N.,022,I - VCR 210,2021-06-26,2,,,G.U. 151,2021-06-26
072,DAMASCHINO B.,,,1971-03-22,,VUJINO,,G.U. 98,1971-04-24
072,DAMASCHINO B.,001,I - DF 1,1990-03-06,19/20/22,,,G.U. 199,1990-08-27
073,DOLCETTO N.,,,1970-05-25,,ORMEASCO,,G.U. 149,1970-06-17
073,DOLCETTO N.,001,I - RAUSCEDO 3,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
073,DOLCETTO N.,002,I - CN 69,1980-10-01,12,,,G.U. 300,1980-10-31
073,DOLCETTO N.,003,I - CVT CN 22,1990-01-19,12,,,G.U. 199,1990-08-27
073,DOLCETTO N.,004,I - CVT AL 275,1990-01-19,12,,,G.U. 199,1990-08-27
073,DOLCETTO N.,005,I - AL-DO-67,1988-12-22,24,,,G.U. 199,1990-08-27
073,DOLCETTO N.,006,I - AL-DO-100,1988-12-22,24,,,G.U. 199,1990-08-27
073,DOLCETTO N.,007,I - CVT 8,2001-11-06,12,,,G.U. 297,2001-12-22
073,DOLCETTO N.,008,I - CVT 237,2001-11-06,12,,,G.U. 297,2001-12-22
073,DOLCETTO N.,009,I - CVT 167,2005-06-09,12,,,G.U. 210,2005-09-09
073,DOLCETTO N.,010,I - UNIMI-VITIS DOL VV901,2009-01-12,33/58,,,G.U. 93,2009-04-22
073,DOLCETTO N.,011,I - UNIMI-VITIS DOL VV910,2009-01-12,33/58,,,G.U. 93,2009-04-22
073,DOLCETTO N.,012,I - VCR 464,2009-01-12,2,,,G.U. 93,2009-04-22
073,DOLCETTO N.,013,I - VCR 466,2009-01-12,2,,,G.U. 93,2009-04-22
073,DOLCETTO N.,014,I - CVT 4,2009-03-27,12/70/34,,,G.U. 146,2009-06-26
073,DOLCETTO N.,015,I - CVT 64,2011-04-22,12/34,,,G. U. 170,2011-07-23
073,DOLCETTO N.,016,I - CVT N4,2014-05-15,12/76,,,G.U. 127,2014-06-04
073,DOLCETTO N.,017,I - CVT N5,2014-05-15,12/76,,,G.U. 127,2014-06-04
073,DOLCETTO N.,018,I - CVT P3,2014-05-15,12/76,,,G.U. 127,2014-06-04
074,DOLCIAME B.,,,1971-02-22,,,,G.U. 71,1971-03-22
075,DOUX D'HENRY N.,,,1970-05-25,,,,G.U. 149,1970-06-17
076,DURASA N.,,,1971-02-22,,,,G.U. 71,1971-03-22
077,DURELLA B.,,,1970-05-25,,DURELLO,,G.U. 149,1970-06-17
077,DURELLA B.,001,I - ISV C VI 4,1987-07-03,1/18,,,G.U. 180,1987-08-04
077,DURELLA B.,002,I - ISV C VI 6,1987-07-03,1/18,,,G.U. 180,1987-08-04
077,DURELLA B.,003,I - ISV C VI 13,1987-07-03,1/18,,,G.U. 180,1987-08-04
077,DURELLA B.,004,I - ISV-C VI 8,1990-07-18,1/18,,,G.U. 199,1990-08-27
077,DURELLA B.,005,I - 1 Vitiver,2015-12-30,98/99,,,G.U. 16,2016-01-21
077,DURELLA B.,006,I - VCR 238,2019-05-23,2,,,G.U. 132,2019-06-07
077,DURELLA B.,007,I - VCR 239,2019-05-23,2,,,G.U. 132,2019-06-07
077,DURELLA B.,008,I - VCR 240,2019-05-23,2,,,G.U. 132,2019-06-07
077,DURELLA B.,009,I - VCR 468,2019-05-23,2,,,G.U. 132,2019-06-07
078,ERBALUCE B.,,,1970-05-25,,,,G.U. 149,1970-06-17
078,ERBALUCE B.,001,I - CVT TO 29,1987-07-03,12,,,G.U. 171,1987-07-24
078,ERBALUCE B.,002,I - CVT TO 30,1987-07-03,12,,,G.U. 171,1987-07-24
078,ERBALUCE B.,003,I - CVT TO 55,1987-07-03,12,,,G.U. 171,1987-07-24
078,ERBALUCE B.,004,I - CVT TO 71,1987-07-03,12,,,G.U. 171,1987-07-24
078,ERBALUCE B.,005,I - VCR 431,2017-10-05,2,,,G.U.256,2017-11-02
078,ERBALUCE B.,006,I - VCR 432,2017-10-05,2,,,G.U. 256,2017-11-02
079,FALANGHINA B.,,,1970-05-25,,,,G.U. 149,1970-06-17
079,FALANGHINA B.,001,I - VCR 2,2004-05-07,2,,,G.U. 242,2004-10-14
079,FALANGHINA B.,002,I - VCR 449,2007-01-09,2,,,G.U. 38,2007-02-15
079,FALANGHINA B.,003,I - Ampelos EVA 1,2009-01-12,60/68/59,,,G.U. 93,2009-04-22
079,FALANGHINA B.,004,I - Falanghina Vitis 17,2015-12-30,58,,,G.U. 16,2016-01-21
079,FALANGHINA B.,005,I - CRSFA - Regione Puglia E412,2020-01-07,66/71/11/80,,,G.U. 16,2020-01-21
079,FALANGHINA B.,006,I - VCR 274,2023-06-19,2,,,G.U.  170,2023-07-22
079,FALANGHINA B.,007,I - VCR 276,2023-06-19,2,,,G.U. 170,2023-07-22
080,FAVORITA B.,,,1970-05-25,,"(190) PIGATO B., (259) VERMENTINO B.",,G.U. 149,1970-06-17
080,FAVORITA B.,001,I - CVT 14,1999-03-01,12,,,G.U. 85,1999-04-13
080,FAVORITA B.,002,I - CVT 66,1999-03-01,12,,,G.U. 85,1999-04-13
080,FAVORITA B.,003,I - CVT 105,1999-03-01,12,,,G.U. 85,1999-04-13
080,FAVORITA B.,004,I - VCR 2,2000-12-06,2,,,G.U. 170,2001-07-24
081,FIANO B.,,,1970-05-25,,,,G.U. 149,1970-06-17
081,FIANO B.,001,I - VCR 3,2001-11-06,2,,,G.U. 297,2001-12-22
081,FIANO B.,002,I - VCR 107,2007-01-09,2,,,G.U. 38,2007-02-15
081,FIANO B.,003,I - Ampelos TEA 24,2008-01-28,59/60,,,G.U. 62,2008-03-13
081,FIANO B.,004,I - Ampelos EVA 2,2009-01-12,60/68/59,,,G.U. 93,2009-04-22
081,FIANO B.,005,I - Unimi - Vitis FIA VV 21,2009-03-27,33/58,,,G.U. 146,2009-06-26
081,FIANO B.,006,I - Unimi - Vitis FIA VV 29,2009-03-27,33/58,,,G.U. 146,2009-06-26
081,FIANO B.,007,I - CRSFA - Regione Puglia B19,2020-01-07,67/71/11/12,,,G.U. 16,2020-01-21
082,FOGLIA TONDA N.,,,1970-05-25,,,,G.U. 149,1970-06-17
082,FOGLIA TONDA N.,001,I - FT-BRO-1,1978-10-24,15,,,G.U. 323,1978-11-18
082,FOGLIA TONDA N.,002,I - SG - CAPSI - 302,2013-07-10,42,,,G. U. 186,2013-08-09
082,FOGLIA TONDA N.,003,I - CREA BC SF 8,2018-02-02,82,,,G.U. 39,2018-02-16
082,FOGLIA TONDA N.,004,I - VCR 84,2021-02-10,2,,,G.U. 43,2021-02-20
083,FORASTERA B.,,,1970-05-25,,"FORESTIERA, FURASTIERA",,G.U. 149,1970-06-17
084,FORTANA N.,,,1970-05-25,,UVA D'ORO,,G.U. 149,1970-06-17
084,FORTANA N.,001,I - CAB 1,1990-08-31,8,,,G.U. 242,1991-10-15
084,FORTANA N.,002,I - CAB 13,1990-08-31,8,,,G.U. 242,1991-10-15
084,FORTANA N.,003,I - VCR 133,2021-02-10,2,,,G.U. 43,2021-02-20
085,FRANCAVIDDA B.,,,1970-05-25,,FRANCAVILLA,,G.U. 149,1970-06-17
085,FRANCAVIDDA B.,001,I - CRSA - Regione Puglia C134,2010-05-28,66/71/11/80,,,G. U. 189,2010-08-14
085,FRANCAVIDDA B.,002,I - CRSA - Regione Puglia C135,2010-05-28,66/71/11/80,,,G. U. 189,2010-08-14
086,FRANCONIA N.,,,1971-03-22,,,,G.U. 98,1971-04-24
086,FRANCONIA N.,001,I - VCR180,2021-06-18,2,,,G.U. 151,2021-06-26
087,FRAPPATO N.,,,1970-05-25,,FRAPPATO D' ITALIA,,G.U. 149,1970-06-17
087,FRAPPATO N.,001,I - FC 26,1987-12-10,19/20,,,G.U. 18,1988-01-23
087,FRAPPATO N.,002,I - FC 32,1990-03-06,19/20/22,,,G.U. 199,1990-08-27
088,FREISA N.,,,1970-05-25,,,,G.U. 149,1970-06-17
088,FREISA N.,001,I - CVT 15,1994-11-24,12,,,G.U. 295,1994-12-19
088,FREISA N.,002,I - CVT 20,1994-11-24,12,,,G.U. 295,1994-12-19
088,FREISA N.,003,I - CVT 154,1994-11-24,12,,,G.U. 295,1994-12-19
088,FREISA N.,004,I - VCR 1,2000-12-06,2,,,G.U. 170,2001-07-24
088,FREISA N.,005,I - VCR 3,2002-11-27,2,,,G.U. 19,2003-01-24
088,FREISA N.,006,I - VCR 208,2009-01-12,2,,,G.U. 93,2009-04-22
088,FREISA N.,007,I - CVT 157,2009-01-12,12/70/34,,,G.U. 93,2009-04-22
088,FREISA N.,008,I - CVT 177,2009-01-12,12/70/34,,,G.U. 93,2009-04-22
089,FUMIN N.,,,1970-05-25,,,,G.U. 149,1970-06-17
089,FUMIN N.,001,I - IAR-F18,2020-06-09,53,,,G.U. 152,2020-06-17
089,FUMIN N.,002,I - IAR-F33,2020-06-09,53,,,G.U. 152,2020-06-17
090,GAGLIOPPO N.,,,1970-05-25,,,,G.U. 149,1970-06-17
090,GAGLIOPPO N.,001,I - Librandi CVT 75,2014-05-15,12/95,,,G.U. 127,2014-06-04
090,GAGLIOPPO N.,002,I - Librandi CVT 80,2014-05-15,12/95,,,G.U. 127,2014-06-04
090,GAGLIOPPO N.,003,I - Librandi CVT 164,2014-05-15,12/95,,,G.U. 127,2014-06-04
090,GAGLIOPPO N.,004,I - Librandi CVT 165,2014-05-15,12/95,,,G.U. 127,2014-06-04
091,GAMAY N.,,,1970-05-25,,,,G.U. 149,1970-06-17
091,GAMAY N.,001,I - VCR 1,2000-12-06,2,,,G.U. 170,2001-07-24
091,GAMAY N.,002,I - IAR 4,2005-06-09,53,,,G.U. 210,2005-09-09
092,GARGANEGA B.,,,1970-05-25,,"(094) GRECANICO DORATO B., GARGANEGO *",*Ai soli fini della designazione,G.U. 149,1970-06-17
092,GARGANEGA B.,001,I - RAUSCEDO 4,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
092,GARGANEGA B.,002,I - FEDIT 9 C.S.G.,1969-12-24,3,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
092,GARGANEGA B.,003,I - ISV-CV 69,1987-08-04,1/17,,,G.U. 227,1987-09-29
092,GARGANEGA B.,004,I - ISV-CV 84,1987-08-04,1/17,,,G.U. 227,1987-09-29
092,GARGANEGA B.,005,I - ISV-CV 24,1993-07-15,1/17,,,G.U. 179,1993-08-02
092,GARGANEGA B.,006,I - ISV - CV 11,1999-03-01,1,,,G.U. 86,1999-04-14
092,GARGANEGA B.,007,I - ISV - CV 18,1999-03-01,1,,,G.U. 86,1999-04-14
092,GARGANEGA B.,008,I - ISV sn 29 Angelini,2005-06-09,1/54,,,G.U. 210,2005-09-09
092,GARGANEGA B.,009,I - VCR 7,2006-02-02,2,,,G.U. 61,2006-03-14
092,GARGANEGA B.,010,I - VCR 13,2006-02-02,2,,,G.U. 61,2006-03-14
092,GARGANEGA B.,011,I - VCR 39,2006-02-02,2,,,G.U. 61,2006-03-14
092,GARGANEGA B.,012,I - VCR 105,2006-02-02,2,,,G.U. 61,2006-03-14
092,GARGANEGA B.,013,I - GAR VISP,2010-05-28,58/83,,,G. U. 189,2010-08-14
092,GARGANEGA B.,014,I - GAR VISP REC,2010-05-28,58/83,,,G. U. 189,2010-08-14
092,GARGANEGA B.,015,I - VITIVER 1,2014-10-20,98-99,,,G.U. 258,2014-06-11
092,GARGANEGA B.,016,I - 2 Vitiver,2015-12-30,98/99,,,G.U. 16,2016-01-21
092,GARGANEGA B.,017,I - Ampelos TEA 104,2017-10-05,59-60,,,G.U. 256,2017-11-02
092,GARGANEGA B.,018,I - RM VITIVER,2018-02-02,98,,,G.U. 39,2018-02-16
092,GARGANEGA B.,019,I - 4 VITIVER,2018-02-02,98,,,G.U. 39,2018-02-16
093,GIRO' N.,,,1970-05-25,,,,G.U. 149,1970-06-17
094,GRECANICO DORATO B.,,,1970-05-25,,(092) GARGANEGA B.,,G. U. 149,1970-06-17
094,GRECANICO DORATO B.,001,I - VCR 13,2002-11-27,2,,,G. U. 19,2003-01-24
094,GRECANICO DORATO B.,002,I - Regione Sicilia 94,2011-04-22,84,,,G. U. 170,2011-07-23
095,GRECHETTO B.,,,1970-05-25,,,,G. U. 149,1970-06-17
095,GRECHETTO B.,001,I - G 5 ICA - PG,1994-11-24,26,,,G. U. 295,1994-12-19
095,GRECHETTO B.,002,I - VCR 2,2004-05-07,2,,,G. U. 242,2004-10-14
095,GRECHETTO B.,003,I - G 109 ISV - ICA PG,2005-06-09,1/26,,,G. U. 210,2005-09-09
096,GRECHETTO ROSSO N.,,,1971-02-22,,(218) SANGIOVESE N.,,G. U. 71,1971-03-22
097,GRECO B.,,,1970-05-25,,(016) ASPRINIO BIANCO B.,,G. U. 149,1970-06-17
097,GRECO B.,001,I - VCR 6,2001-11-06,2,,,G. U. 297,2001-12-22
097,GRECO B.,002,I - VCR 11,2001-11-06,2,,,G. U. 297,2001-12-22
097,GRECO B.,003,I - VCR 2,2002-11-27,2,,,G.U. 19,2003-01-24
097,GRECO B.,004,I - VCR 5,2002-11-27,2,,,G.U. 19,2003-01-24
097,GRECO B.,005,I - Ampelos TEA 25,2008-01-28,59/60,,,G.U. 62,2008-03-13
097,GRECO B.,006,I - Unimi-Vitis GRE VV31,2009-03-27,33/58,,,G.U. 146,2009-06-26
098,GRECO BIANCO B.,,,1970-05-25,,"(105) GUARDAVALLE B., GRECO*",* Ai soli fini della designazione,G.U. 149,1970-06-17
099,GRECO NERO N.,,,1970-05-25,,"(143) Marsigliana N., (934) Magliocco dolce N., Arvino, GRECO *,",* Ai soli fini della designazione,G.U. 149,1970-06-17
100,GRIGNOLINO N.,,,1970-05-25,,,,G.U. 149,1970-06-17
100,GRIGNOLINO N.,001,I - RAUSCEDO 1,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
100,GRIGNOLINO N.,002,I - CVT AT 261,1990-01-23,12,,,G.U. 196,1990-08-23
100,GRIGNOLINO N.,003,I - CVT AT 275,1990-01-23,12,,,G.U. 196,1990-08-23
100,GRIGNOLINO N.,004,I - AL-GRI-79,1988-12-22,24,,,G.U. 199,1990-08-27
100,GRIGNOLINO N.,005,I - AL-GRI-87,1988-12-22,24,,,G.U. 199,1990-08-27
100,GRIGNOLINO N.,006,I - CVT 113,2001-11-06,12,,,G.U. 297,2001-12-22
100,GRIGNOLINO N.,007,I - VCR 22,2023-06-19,2,,,G.U. 170,2023-07-22
100,GRIGNOLINO N.,008,I - VCR 25,2023-06-19,2,,,G.U. 170,2023-07-22
101,GRILLO B.,,,1970-05-25,,,,G.U. 149,1970-06-17
101,GRILLO B.,001,I - Regione Sicilia 297,2011-04-22,84,,,G. U. 170,2011-07-23
101,GRILLO B.,002,I - VFP 91,2012-03-23,4,,,G. U. 137,2012-06-14
101,GRILLO B.,003,I - VFP 92,2012-03-23,4,,,G. U. 137,2012-06-14
101,GRILLO B.,004,I - VFP 93,2012-03-23,4,,,G. U. 137,2012-06-14
101,GRILLO B.,005,I - VCR 475,2022-04-12,2,,,G.U. 106,2022-05-07
101,GRILLO B.,007,I - VCR 480,2022-04-12,2,,,G.U. 106,2022-05-07
101,GRILLO B.,006,I - VCR 478,2022-04-12,2,,,G.U. 106,2022-05-07
102,GROPPELLO DI MOCASINA N.,,,1971-03-22,,,,G.U. 98,1971-04-24
102,GROPPELLO DI MOCASINA N.,001,I - LL - 2,1990-08-31,7/33,,,G.U. 242,1991-10-15
102,GROPPELLO DI MOCASINA N.,002,I - MI - GROM - 8,2010-05-28,33/29/41,,,G. U. 189,2010-08-14
